observ,profile1,profile2,profile3,profile4,profile5,profile6,profile7,profile8,profile9,profile10,profile11,profile12,profile13,profile14,profile15,profile16,profile17,profile18,profile19,profile20,profile21,profile22,profile23,profile24,profile25
293,-3850,-5000,-4750,-2950,-5900,-3450,-3650,-5750,-2200,-1500,-4150,-4850,-5050,-3650,-5300,-5200,-5350,-2600,-3050,-2150,-4850,-4300,-4200,-4000,-5250
294,-3850,-5000,-4800,-2950,-5800,-3500,-3650,-5450,-2200,-1500,-4200,-4800,-5050,-3650,-5300,-5250,-4700,-2650,-3050,-1950,-4850,-3800,-4200,-3750,-5250
295,-3850,-5000,-4800,-3000,-5800,-3500,-3700,-5450,-2250,-4250,-4200,-4800,-5100,-3700,-5250,-5300,-4750,-2650,-2350,-1950,-4700,-3800,-4200,-3750,-5250
296,-3900,-5000,-4800,-3000,-6600,-3500,-3700,-6500,-2250,-4250,-3950,-4750,-5100,-3700,-5250,-5350,-4800,-2700,-2350,-2000,-4700,-3750,-4200,-3950,-5250
297,-3900,-5000,-4850,-3000,-6600,-3500,-3700,-6500,-2300,-4250,-3950,-4750,-4650,-3750,-5200,-4700,-4850,-2700,-2400,-2000,-4800,-3750,-4150,-3950,-5250
298,-3900,-5000,-4850,-3000,-6550,-3500,-3700,-6550,-2300,-4250,-4500,-4700,-4650,-3750,-5200,-4750,-4900,-2750,-2400,-1550,-4800,-3700,-4150,-4100,-5300
299,-3900,-4650,-4850,-3050,-6550,-3500,-3700,-6550,-2150,-4200,-4500,-4700,-4700,-3800,-5150,-4800,-4950,-2750,-7000,-1550,-7000,-3700,-3650,-4100,-5300
300,-3900,-4650,-4900,-3050,-6650,-3550,-3700,-6600,-2150,-4200,-4550,-4650,-4700,-3800,-5150,-4850,-5000,-2100,-7000,-1600,-7000,-3250,-3650,-3650,-5300
301,-3900,-4650,-4900,-3050,-6650,-3550,-3850,-6600,-4100,-4000,-4550,-4650,-4750,-3850,-5100,-4900,-4650,-2100,-6950,-1600,-6950,-3250,-3400,-3650,-5300
302,-3950,-4650,-4900,-3050,-6650,-3550,-3850,-6650,-4100,-4000,-3900,-4600,-4750,-3850,-5100,-4950,-4550,-2150,-6950,-1650,-6950,-3550,-3400,-3650,-5350
303,-3950,-4650,-4950,-3100,-6650,-3550,-3850,-6650,-4050,-3950,-3900,-4600,-4800,-3900,-5050,-5000,-4550,-2150,-6100,-1650,-6100,-3550,-3450,-3650,-5350
304,-3950,-4550,-4950,-3100,-6850,-3550,-3850,-6700,-4050,-3950,-4400,-5150,-4800,-3900,-5050,-4650,-4600,-2200,-6100,-1700,-6100,-3300,-3450,-3950,-5350
305,-3950,-4550,-4950,-3100,-6850,-3550,-3850,-6700,-4000,-3900,-4400,-5150,-4850,-3950,-5000,-4550,-4600,-2200,-7150,-1700,-6100,-3300,-3500,-3950,-5350
306,-3950,-4550,-5000,-3100,-6800,-3600,-3850,-6750,-4000,-3900,-4800,-5100,-4850,-3950,-5000,-4600,-4350,-2250,-7150,-1750,-6100,-3350,-3500,-3900,-5350
307,-3950,-4550,-5000,-3100,-6800,-3600,-3900,-6750,-3800,-3750,-4800,-5100,-4950,-3300,-5400,-4350,-4350,-2250,-7100,-1750,-7150,-3350,-3550,-3900,-5350
308,-3300,-4550,-5000,-3100,-7050,-3600,-3900,-6800,-3800,-3750,-4150,-5050,-4950,-3300,-5400,-4350,-4400,-2300,-7100,-1800,-7150,-3500,-3550,-3300,-4700
309,-3300,-4550,-4650,-3150,-7050,-3600,-3900,-6800,-3800,-4100,-4150,-5050,-3750,-3300,-5350,-4400,-4400,-2300,-7050,-1800,-7100,-3500,-3600,-3300,-4700
310,-3300,-4550,-4650,-3150,-7500,-3600,-3900,-6200,-3800,-4100,-4150,-5000,-3750,-3300,-5350,-4400,-4450,-2350,-7050,-1850,-7100,-3400,-3600,-3300,-4700
311,-3300,-4550,-4650,-3150,-7500,-3600,-5400,-6200,-3750,-4100,-4150,-5000,-4000,-3350,-2800,-4400,-4450,-2350,-7300,-1850,-7050,-3400,-4100,-3300,-4700
312,-3350,-4600,-4550,-3150,-7000,-2950,-5400,-6150,-3750,-4100,-4100,-4950,-4000,-3350,-2800,-4400,-4500,-2400,-7300,-1500,-7050,-3450,-4100,-3350,-4700
313,-3350,-4600,-4550,-3200,-7000,-2950,-5400,-6150,-3650,-4100,-4100,-4950,-4050,-3350,-2850,-4450,-4500,-2400,-7250,-1500,-7300,-3450,-4100,-3350,-4700
314,-3350,-4600,-4550,-3200,-6750,-2950,-5450,-6250,-3650,-4100,-4100,-4900,-4050,-3350,-2850,-4450,-4300,-2000,-7250,-2250,-7300,-3600,-4100,-3350,-4750
